JobID|State|ExitCode|Elapsed
416704|FAILED|2:0|00:00:02
416704.batch|FAILED|2:0|00:00:02
416704.extern|COMPLETED|0:0|00:00:02
416705|FAILED|1:0|00:01:01
416705.batch|FAILED|1:0|00:01:01
416705.extern|COMPLETED|0:0|00:01:01
416708|COMPLETED|0:0|00:01:03
416708.batch|COMPLETED|0:0|00:01:03
416708.extern|COMPLETED|0:0|00:01:03
416710|FAILED|1:0|00:00:01
416710.batch|FAILED|1:0|00:00:01
416710.extern|COMPLETED|0:0|00:00:01
416712|FAILED|1:0|00:00:01
416712.batch|FAILED|1:0|00:00:01
416712.extern|COMPLETED|0:0|00:00:01
416713|FAILED|1:0|00:03:08
416713.batch|FAILED|1:0|00:03:08
416713.extern|COMPLETED|0:0|00:03:08
416714|COMPLETED|0:0|00:00:04
416714.batch|COMPLETED|0:0|00:00:04
416714.extern|COMPLETED|0:0|00:00:04
416715|COMPLETED|0:0|00:00:12
416715.batch|COMPLETED|0:0|00:00:12
416715.extern|COMPLETED|0:0|00:00:12
416716|COMPLETED|0:0|00:00:32
416716.batch|COMPLETED|0:0|00:00:32
416716.extern|COMPLETED|0:0|00:00:32
416718|FAILED|1:0|00:00:00
416718.batch|FAILED|1:0|00:00:00
416718.extern|COMPLETED|0:0|00:00:00
416729|FAILED|1:0|00:03:05
416729.batch|FAILED|1:0|00:03:05
416729.extern|COMPLETED|0:0|00:03:05
416730|FAILED|1:0|00:00:00
416730.batch|FAILED|1:0|00:00:00
416730.extern|COMPLETED|0:0|00:00:00
416733|COMPLETED|0:0|00:00:03
416733.batch|COMPLETED|0:0|00:00:03
416733.extern|COMPLETED|0:0|00:00:03
416734|COMPLETED|0:0|00:03:07
416734.batch|COMPLETED|0:0|00:03:07
416734.extern|COMPLETED|0:0|00:03:07
416735|COMPLETED|0:0|00:00:03
416735.batch|COMPLETED|0:0|00:00:03
416735.extern|COMPLETED|0:0|00:00:03
416736|COMPLETED|0:0|00:00:12
416736.batch|COMPLETED|0:0|00:00:12
416736.extern|COMPLETED|0:0|00:00:12
416737|COMPLETED|0:0|00:00:32
416737.batch|COMPLETED|0:0|00:00:32
416737.extern|COMPLETED|0:0|00:00:32
